Reporte de drivers y modulos del kernel
Generado: 2026-05-16 11:13:22 -03
Equipo: javier-lcd
Kernel: 6.17.0-23-generic

=== MODULOS CARGADOS ===
Module                  Size  Used by
gpio         | gpio_stub_drv                  | builtin/no-visible        | (0) -
hdaudio      | snd_hda_codec_conexant         | snd_hda_codec_conexant    | (1) hdaudioC0D0
hdaudio      | snd_hda_codec_generic          | snd_hda_codec_generic     | (0) -
hdaudio      | snd_hda_codec_hdmi             | snd_hda_codec_hdmi        | (0) -
hdaudio      | snd_hda_codec_intelhdmi        | snd_hda_codec_intelhdmi   | (1) hdaudioC0D2
hid          | hid-generic                    | hid_generic               | (3) 0003:3554:F55D.0006 0003:3554:F55D.0004 0003:3554:F55D.0005
i2c          | 88PM860x                       | builtin/no-visible        | (0) -
i2c          | aat2870                        | builtin/no-visible        | (0) -
i2c          | adp5520                        | builtin/no-visible        | (0) -
i2c          | as3711                         | builtin/no-visible        | (0) -
i2c          | da903x                         | builtin/no-visible        | (0) -
i2c          | da9052                         | builtin/no-visible        | (0) -
i2c          | da9055-pmic                    | builtin/no-visible        | (0) -
i2c          | da9063                         | builtin/no-visible        | (0) -
i2c          | dummy                          | builtin/no-visible        | (2) 0-0037 0-0036
i2c          | ee1004                         | ee1004                    | (1) 0-0050
i2c          | elants_i2c                     | builtin/no-visible        | (0) -
i2c          | intel_soc_pmic_chtwc           | builtin/no-visible        | (0) -
i2c          | intel_soc_pmic_crc             | builtin/no-visible        | (0) -
i2c          | lp8788                         | builtin/no-visible        | (0) -
i2c          | max14577                       | builtin/no-visible        | (0) -
i2c          | max310x                        | builtin/no-visible        | (0) -
i2c          | max77693                       | builtin/no-visible        | (0) -
i2c          | max77843                       | builtin/no-visible        | (0) -
i2c          | max8925                        | builtin/no-visible        | (0) -
i2c          | max8997                        | builtin/no-visible        | (0) -
i2c          | max8998                        | builtin/no-visible        | (0) -
i2c          | palmas                         | builtin/no-visible        | (0) -
i2c          | rc5t583                        | builtin/no-visible        | (0) -
i2c          | smbus_alert                    | i2c_smbus                 | (0) -
i2c          | sx150x-pinctrl                 | builtin/no-visible        | (0) -
i2c          | tps65090                       | builtin/no-visible        | (0) -
i2c          | tps6586x                       | builtin/no-visible        | (0) -
i2c          | tps65910                       | builtin/no-visible        | (0) -
i2c          | tps65912                       | builtin/no-visible        | (0) -
i2c          | twl                            | builtin/no-visible        | (0) -
i2c          | twl6040                        | builtin/no-visible        | (0) -
i2c          | wm831x                         | builtin/no-visible        | (0) -
i2c          | wm8350                         | builtin/no-visible        | (0) -
i2c          | WM8400                         | builtin/no-visible        | (0) -
mdio_bus     | Broadcom BCM84881              | builtin/no-visible        | (0) -
mdio_bus     | Generic Clause 45 PHY          | builtin/no-visible        | (0) -
mdio_bus     | Generic FE-GE Realtek PHY      | realtek                   | (1) r8169-0-400:00
mdio_bus     | Generic PHY                    | builtin/no-visible        | (0) -
mdio_bus     | Realtek Internal NBASE-T PHY   | realtek                   | (0) -
mdio_bus     | RTL8201CP Ethernet             | realtek                   | (0) -
mdio_bus     | RTL8201F Fast Ethernet         | realtek                   | (0) -
mdio_bus     | RTL8208 Fast Ethernet          | realtek                   | (0) -
mdio_bus     | RTL8211B Gigabit Ethernet      | realtek                   | (0) -
mdio_bus     | RTL8211C Gigabit Ethernet      | realtek                   | (0) -
mdio_bus     | RTL8211DN Gigabit Ethernet     | realtek                   | (0) -
mdio_bus     | RTL8211E Gigabit Ethernet      | realtek                   | (0) -
mdio_bus     | RTL8211F Gigabit Ethernet      | realtek                   | (0) -
mdio_bus     | RTL8211F-VD Gigabit Ethernet   | realtek                   | (0) -
mdio_bus     | RTL8211 Gigabit Ethernet       | realtek                   | (0) -
mdio_bus     | RTL8221B-VB-CG 2.5Gbps PHY (C22) | realtek                   | (0) -
mdio_bus     | RTL8221B-VB-CG 2.5Gbps PHY (C45) | realtek                   | (0) -
mdio_bus     | RTL8221B-VM-CG 2.5Gbps PHY (C22) | realtek                   | (0) -
mdio_bus     | RTL8221B-VM-CG 2.5Gbps PHY (C45) | realtek                   | (0) -
mdio_bus     | RTL8224 2.5Gbps PHY            | realtek                   | (0) -
mdio_bus     | RTL8226 2.5Gbps PHY            | realtek                   | (0) -
mdio_bus     | RTL8226B-CG_RTL8221B-CG 2.5Gbps PHY | realtek                   | (0) -
mdio_bus     | RTL8226B_RTL8221B 2.5Gbps PHY  | realtek                   | (0) -
mdio_bus     | RTL8226-CG 2.5Gbps PHY         | realtek                   | (0) -
mdio_bus     | RTL8251B 5Gbps PHY             | realtek                   | (0) -
mdio_bus     | RTL8365MB-VC Gigabit Ethernet  | realtek                   | (0) -
mdio_bus     | RTL8366RB Gigabit Ethernet     | realtek                   | (0) -
mdio_bus     | RTL8366S Gigabit Ethernet      | realtek                   | (0) -
mdio_bus     | RTL9000AA_RTL9000AN Ethernet   | realtek                   | (0) -
mei          | mei_hdcp                       | mei_hdcp                  | (1) 0000:00:16.0-b638ab7e-94e2-4ea2-a552-d1c54b627f04
mei          | mei_pxp                        | mei_pxp                   | (1) 0000:00:16.0-fbf6fcf1-96cf-4e2e-a6a6-1bab8cbe36b1
nd           | nd_bus                         | libnvdimm                 | (0) -
nd           | nd_region                      | libnvdimm                 | (0) -
nd           | nvdimm                         | libnvdimm                 | (0) -
parport      | lp                             | lp                        | (0) -
parport      | ppdev                          | ppdev                     | (0) -
pci          | 8250_mid                       | 8250_mid                  | (0) -
pci          | agpgart-intel                  | intel_agp                 | (0) -
pci          | agpgart-via                    | via_agp                   | (0) -
pci          | ahci                           | ahci                      | (1) 0000:00:17.0
pci          | asiliantfb                     | asiliantfb                | (0) -
pci          | ata_generic                    | ata_generic               | (0) -
